500,20,56,1,1,1
500,20,51,1,1,1
500,20,71,1,1,1
500,20,68,1,1,1
500,20,47,1,1,1
500,20,51,1,1,1
500,20,60,1,1,1
500,20,55,1,1,1
500,20,56,1,1,1
500,20,70,1,1,1
500,20,64,1,1,1
500,20,59,1,1,1
500,20,61,1,1,1
500,20,58,1,1,1
500,20,77,1,1,1
500,20,58,1,1,1
500,20,61,1,1,1
500,20,71,1,1,1
500,20,82,1,1,1
500,20,54,1,1,1
500,20,53,1,1,1
500,20,87,1,1,1
500,20,88,1,1,1
500,20,88,1,1,1
500,20,68,1,1,1
500,20,63,1,1,1
500,20,69,1,1,1
500,20,77,1,1,1
500,20,64,1,1,1
500,20,86,1,1,1
500,20,97,1,1,1
500,20,61,1,1,1
500,20,72,1,1,1
500,20,87,1,1,1
500,20,65,1,1,1
500,20,88,1,1,1
500,20,70,1,1,1
500,20,51,1,1,1
500,20,46,1,1,1
500,20,59,1,1,1
500,20,67,1,1,1
500,20,64,1,1,1
500,20,59,1,1,1
500,20,63,1,1,1
500,20,63,1,1,1
500,20,84,1,1,1
500,20,76,1,1,1
500,20,50,1,1,1
500,20,51,1,1,1
500,20,69,1,1,1
